H-ID,type_id,stated_in H-ID,pages,reference_prefix,quotation
46986,128,46903,46,FC3 - FOUCON DE CANDIE,"Foucon de Candie. Fragment de Maestricht publié par F. WILFOTTE in Bulletins de I'Académie Royale... de Belgique, Bruxelles, XIX, 1890, p. 23-30 - 1180-5 ou c. 1210 (oeuvre d'Herbert le Duc de Danmartin même type de ms. que FC2 = 207 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] → vers."
46987,128,46903,46,Fi1 - FIERABAS,"(3) Fierabras, chanson de geste publiée pour la première fois, d'après les manuscrits de Paris, de Rome et de Londres par O. KROEBER et G. SERVOIS, Paris, 1860 (APF, 4) — c. 1170 (picard comme DRo1, remanṯ) ms. d'avant 1350 (picard) = 6219 v. [Geste du roi Charles.] E → vers. (3) En complément, voir A. DE MANDACH (éd.) : Chanson de Fierabras. Ms. IV, 578 de Hanovre. Avec variantes des manuscrits Escorial, Paris-A. Vatican et Didot-Louvain. Textes inédits établis par l’équipe d'AIbert Stimming et Alfons Hilke à l'Université de Goettingue, complétés par A. de M., avec introduction. Pré-publications de Neuchâtel, n° 1, 1981 et 'Appendice III. Fragments inédits du manuscrit détruit D', dans Naissance et développement de la chenson de geste en Europe. V-Les Mutations et ces ferts de mythes das les gestes de Fierabras et de Rol- Droz, Genève, 1984."
46988,128,46903,33,Ag - AGOLANT,"[texte plus ou moins influencé par la Chronique de Turpin (PT, Textes Annexes)] Fragments de manuscrits français. I) Fragment d'une chanson de geste relative à la guerre d’Espagne, publié par P. MEYER, dans Rom. XXXV, 1906, p. 22-31— fin 12è - début 13è s. (remanṯ français ?) ; ms. fin 13è s. (français) = 160 v. [Geste du roi Charles.] G → vers."
46989,128,46903,47,Fi2 - FIERABRAS,"La Destruction de Rome et Fierabres ; ms. Egerton 3028, du Musée Brit., Loodres, publiés par L. BRANDIN. dans Rom. LXIV, 1938, p. 55-100 — c. 1170 (région normande ou n.-e. de la France comme CRo2, remanṯ); ms. c. 1350 (anglo-normand) = 1775 v. [Geste du roi Charles.] E → vers."
46990,128,46903,47,Fi4 - FIERABRAS,"Der Roman von Fierabras, provenzalisch, herausgegeben von I. BEKKER, Berlin, 1829 (Abhandlungen der preuss. Akad. hist. phil. Klasse, X) — avant Fi1 ou début 13è s. ou 1230-40 (provençal) ; ms. Fin 13è - 14è s. (provençal) = 5084 v. [Geste du roi Charles.] E → vers."
46991,128,46903,47,Fl1 - FLOOVANT,"La Chanson de Floovent, étude critique et édition par F. H. BATESON (thèse Paris), Longhborough, 1938 — fin 12è s. (Ile- de-France) ; ms. début 14è s. (bourguignon) = 2534 v. [Poèmes indépendants.] A → vers."
46992,128,46903,47,Fl2 - FLOOVANT,"(1) Fragments (2) de Tennenbach, publiés par S. ANDOLF dans son éd. de FLOOVANT, chanson de geste du XIIè siècle, Uppasala, 1941, p. 186-190 — fin 12è s. (Ile-de-Frence) ; ms. 14è s. (lorrain, postérieur à celui de Fl1) = 192 v. [Poèmes indépendants.] A →vers. (1) Autre éd. par P. GEHRT :'Zwei altfranzösische Bruchstücke des Floovant', dans Romanische Forschungen X, 1899, p. 248-271. (2) On consultera aussi Carole ANN HEAD, Octavian, a critical edition, thèse, University of North Carolina at Chapell Hill, 1978 (ms. Hatton 100, bibl. Bodléienne d'Oxford)."
46993,128,46903,47,FO - FLORENT ET OCIAVIEN,"[texte non édité ou édition partielle non utilisée] (2) Florent et Octavien. Chanson de geste du XIVè siècle. Résumé et analyse par R. BOSSUAT, dans Rom. LXXIII, 1952, p. 289-351 — Fin 13è - début 14è s. ou c. 1356 (amplification de Oct1, milieu parisien) ; ms. 1400-50 (traces picardes, N.-E., texte renouvelé) — 18.575 v. [Cycle de Dagobert.] → sigle seul. (2) On consultera aussi Carole ANN HEAD, Octavian, a critical edition, thèse, University of North Carolina at Chapell Hill, 1978 (ms. Hatton 100, bibl. Bodléienne d'Oxford)."
46994,128,46903,47,FR1 - FLORENCE DE ROME,"Florence de Rome, chanson d'aventure du premier quart du XIIIè siècle, publiée par A. WALLENSKÖLD, 2 vol. Paris, 1907-9 (SATF), II (ms. B.N. fr. n. acq. 4192) — fin 12è s. ou 1200-25 (francien, renouvelṯ) ; ms. de base fin 13è - début 14è s. (lorrain) = 6410 v. [Cycle de Dagobert.] → vers."
46995,128,46903,47,FR2 - FLORENCE DE ROME,"Florence de Rome, chanson d'aventure du premier quart du XIIIè siècle, publiée par A. WALLENSKÖLD, 2 vol. Paris, 1907-9 (SATF), I (ms. B.N. fr. 24384) – après 1312 ou avant 1350 (remanṯ picard de FR1) ; ms. daté de 1455-6 (picard) = 4562 v. [Cycle de Dagobert.] → vers."
46996,128,46903,48,FR3 - FLORENCE DE ROME,"Le Dit de Flourence de Romme, publié par A. JUBINAL, dans Nouveau Recueil de Contes, Dits, Fabliaux et autres pièces inédites des XIIIè, XIVè et XVè siècles, I, Paris, 1839, p. 88-117 — début 14è s. ; ms. 14è-15è s. = 756 v. [Cycle de Dagobert.] → pages."
46997,128,46903,48,G1 -LA CHANSON DE GUILLAUME (1ère partie),"(1) La Chanson de Guillaume, publiée par Duncan Mc MILLAN, 2 vol., Paris, 1949-50 (SATF), v. 1-1980 — 1080, 1100, 1140, 1150, après 1170 (intégrant une 'Chanson de Vivien' primitive- nord de la France) ; ms. c. 1750 (anglo-normand) = 1980 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] [Geste de Vivien (rattachée à Geste de Guillaume d'Orange).] → vers. (1) Autre édition per J. WATHELET-WILLEM, Recherches sur la Chanson de Guillaume ; études accompagnées d'une édition 2 tomes (Bibl. de la faculté de Philo. et Lettres de l'Université de Liège, vol. CCX), Paris 1975 (éd. dans le t. II)."
46998,128,46903,48,G2 - LA CHANSON DE GUILLAUME (2è partie),"La Chanson de Guillaume, publiée par Duncan MC MILLAN, 2 vol., Paris, 1949-50 (SATF), v. 1981-3554 — 1140... après 1170 (nord de la france, intégrant une 'Chanson de Rainouart' primitive) ; ms. c. 1250 (anglo-normand) = 1574 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] [Geste de Rainouart (rattachée à Geste de Guillaume d'Orange)] → vers (suite du chiffrage de G1)."
46999,128,46903,33,AiM - AIGAR ET MAURIN,"Aigar et Maurin. Fragments d'une chanson de geste provençale inconnue, publiés d'après un manuscrit récemment découvert à Gand, par A. SCHELER, Bruxelles, 1877 (Le Bibliophile belge, XII) – après 1150 (mél. français-occitan, Poitou ?) ; ms. 1300-30 (provençal, avec formes françaises) = 1442 v. [Poèmes indépendants.] C → vers."
47000,128,46903,48,GA - GUIBERT D'ANDRENAS,"Guibert d'Andrenas, chanson de geste publiée pour la première fois par J. MELANDER, Paris, 1922 — fin 12è s.... 1210-25 (nord de l'Ile-de-France ou Champagne) ; ms. de base c. 1250 (langue de l'auteur) = 2466 v. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] → vers."
47001,128,46903,48,Gal - GALIEN,"[texte plus ou moins influencé par la Chronique de Turpin (PT, Textes Annexes)] - Galiens li Restorés. Schlusstheil des Cheltenhar... Guerin de Monglane, unter Beifügung sämmtlicher Prosabearbeitungen, zum ersten Mal ver öffentlicht, von E. STENGEL, Marburg, 1890 (Ausgaben und Abhandlungen aus dem Gebiete der Romenischen Philologie, LXXXIX) — fin 13è s. (nord de l'Ile-de-France ? remanṯ d'un texte de 1150-1200) ; ms. 15è s. (francien, traces picardes) = 6270 v. [Geste de Garin de Monglane.] [Geste du roi Charles.] D, G → folios."
47002,128,46903,48,Gam1 - GAPIN DE MONGLANE,"[édition partielle utilisée] - Di Chanson Garin de Monglane nach den Hss. P, L, R - Teil I, von E. SCHUPPE, diss. Greifswald, 1914 (v. 1-1559) - Teil II, von E. MÜLLER, diss. Greifswald, 1913 (v. 1560-3146) - Teil III, von H. MEHN, diss. Greifswald, 1913 (v. 3147-4693) - Un nouveau fragment de Garin de Monglane publié par W.L. HENDRICKSON in Rom. XCVI, 1975, p. 185-193 (v. 4693-5010) (2) — 1250-1300 (picard) ; ms. de base début 14è s. (Ile-de-France, traces picardes) et ms. Garett 125 (fragṯ Hendrickson) 1290-1320 (école d'Amiens) = 5010 v. [Geste de Garin de Monglane.] [Geste du roi Charles.] B → vers. (2) W.L. HENDRICKSON prépare une édition complète de la chanson."
47003,128,46903,49,GaM2 - GARIN DE MONGLANE,"Fragments de manuscrits de chansons de geste publiés par X. PAMFILOVA, II - Garin de Monglane (Archives de la Nièvre), Rom. LVII, 1931, p. 518-538 (ms. B.N. fr. 24403, fol. 77a -80) — 1250-1300 (picard); ms. fin 13è s. (franc-comtois) = 815 (787) v. [Geste de Garin de Monglane.] [Geste du roi Charles.] B → vers."
47004,128,46903,49,Gau - GAUFREY,"Gaufrey, chanson de geste publié pour la première fois d'après le manuscrit unigue de Montpellier, par F. GUESSARD et P. CHABAILLE Paris, 1859 (APF, — 1250-1300 ou début 14è s. (picard ?) ; ms. 1350-1400 (picard) = 10726 v. [Geste de Doon de Maience.] [Geste du roi Charles.] C → vers."
47005,128,46903,49,Gay - GAYDON,"(1) Gaidon, chanson de geste publiée pour la première fois, d'après les trois manuscrits de Paris, par F. GUESSARD et S. LUCE, Paris, 1862 (APF, 7) — après 1218, 1210-40, après 1234 (francien ? remanṯ ?) ; ms. c. 1259 (lorrain ou wallon) = 10887 v. [Geste du roi Charles.] H → vers. (1) Nouvelle édition en préparation par J. SUBRENAT."
47006,128,46903,49,GB - GUI DE BOURGOGNE,"[texte plus ou moins influencé par la Chronique de Turpin (PT, Textes Annexes)] - Gui de Bourgogne, chanson de geste publiée pour la premiàre fois, d'après les manuscrits de Tours et de Londres, per F. GUESSARD et H. MICHELENT, Paris, 1859 (APF, 1) — fin 12è - début 13è s., 1210-40 (langue commune) ; ms. de base (Tours) 13è s. (langue commune) = 4404 v. [Geste du roi Charles.] G → vers."
47007,128,46896,336,GerbMetzChB,"id., Cycle des Loherains, fragm. concernant un combat entre Girbert et Fromondin; ms. Châlons Arch. dép. 3.J.138 [lorr. 2 e m. 13 e s.]; p. p. F. Bonnardot, “Rapport sur une mission littéraire en Lorraine”, ArchMiss 3 e sér., 1, 1873, 247-291, spéc. 264-265; 286-291 (app. XI). Correspond au ms. BN fr. 1622 (M) f°176 b -177d dont sont données qqs. var."
47008,128,46896,336,GerbMetzS,"id.; ms. BN fr. 19160 [lorr. 2e t. 13 e s.] (E), en var.: D, F, G, P et X; vers 1-2460 p. p. E. Stengel, “Girbert de Mes”, RoSt 1 (1873) 441-552; [= Boss 443; Hol 743]."
47009,128,46896,335-336,GerbMetzT,"Gerbert de Metz, chanson de geste, branche du Cycle des Loherains, en laisses de vers décasyll. assonancés; champ.sept. fin 12e s.; ms. de base Ars. 2983 (anc. 180) [pic. 2e m. 13e s.](A), autres mss.: Bern 113 [bourg., qqs. traitspic., fin 13e s.] (B), BN fr. 1443 [fin 13e s.] (C),BN fr. 1461 [déb. 13e s.] (D), BN fr. 19160 [lorr.2e t. 13e s.] (E), BN fr. 1582 [traits du Nord-Est 2e q. 13e s.] (F), BN fr. 19161 [fin 13e s.] (G), Di-jon 528 (300 1 ) [lorr.mérid. fin 13e s.] (I), Montpel-lier Ec. de Méd. 243 [13e s.] (J), Lille Bibl. mun. Godefroy 64 (151) [fin 13e s.] (L1), BN fr. 1622 [lorr. 3e q. 13e s.] (M), Ars. 3143 (anc. 181) [Paris?, traits pic. 1e m. 14e s.] (N), Oxford Bodl. Rawl.F.150 [13e s.] (O), BN fr. 1442 [lorr. 4e q. 13e s.] (P),Bruxelles Bibl. roy. 9630 [13e s.] (Q), BN fr. 4988[ca. 1300] (S), Torino Bibl. naz. L.II.14 [pic. (Ori-gny) 1311] (T), BN nfr. 10051 [pic. 13e s.] (V), BNfr. 2179 [1 e m. 13e s.?] (X), fragm. v. éd. p. XXIII,BN nfr. 23011 [ca. 1300] fragm. (v. CN 65, 27-52), Cambridge Corpus Christi Coll. ex impr. E-6-14 [13e s.?] v. Catal. Wilkins 1993, 167, BesançonArch. dép. B.5 [14e s.] fragm. (Gdf: Doubs, v. bibl.Ringenbach), Cambridge Univ. Add. 5964(39) [13e s.] fragm.: v. 14165-143304; p. p. P. Taylor,Gerbert de Mez, Louvain (Nauwelaerts) – Lille(Giard) 1952 (Bibl. Fac. de Philosophie et Lettresde Namur 11); [= TL Gerb. de Mez; FEW GerbM].Le début, vers 1-2676, correspond à la fin, vers16143-18650, de → GarLorrI."
47010,128,46903,33,Al - ALISCANS,"Aliscans, kritischer Text von E. WIENBECK, W. HARTNACKE, P. RASCH, I, Halle, 1903 — 1180-1200 (langue commune) ; 13 mss., 13è-14è s. = 8510 V. [Geste de Guillaume d'Orange (suite de Geste de Garin de Monglane).] [Geste de Rainouart (rattachée à Geste de Guillaume d'Orange)] [Geste de Vivien (rattachée à Geste de Guillaume d'Orange).] → vers (2). 
(2) Voir aussi M. TYSSENS : 'Encore Aliscans : les enseignements du manuscrit Savile', Mélandes René Louis, II, 623-635."
47011,128,46903,49,GI - GORMONT ET ISEMBART,"Gormont et Isembart, fragment de chanson de geste du XIIè siècle, publié par A. BAYOT, Paris, 3è éd. 1931 (CFMA, 14) — 1068-88, 1085-1110, 1100-30, 1104, c. 1130 (normand-francien, contemporain de Ro1 et G1, remanṯ d'un texte plus ancien) ; ms. 13è s. (transcription en écriture anglo-normande d'un texte du centre de la France, S.-O. de Paris) = 661 v. [Geste du Nord.] → vers."
47012,128,46903,49,GL - GARIN LE LORRAIN,"Garin le Loheren, according to Ms. A (Bibl. de l'Arsenal 2983), with Text, Introdoction and Linguistic Study, by Joséphine Elvira VALLERIE, Ann Arbor (Michigan), 1947 (éd. lithographique) — fin 12è s. (Jean de Flagy ? champenois) ; ms. de base 12è - 13è s. (picard sud, avec traits champenois) = 16617 v. [Geste des Lorrains.] → vers."
47013,128,46903,49,GM - GIRBERT DE METZ,"Gerbert de Mez, chanson inédite du XIIè siècle, publiée par P. TAYLOR, Namur, 1952 (Bibliothèque de la Faculté de Philosophie et Lettres de Namur, fasc. 11) - fin 12è s., 1185-1210 (Jean de Flagy, picard ? champenois ?) ms. fin 12è - début 13è s. (scribes picard/lorrain et champenois) = 14795 v. [Geste des Lorrains.] → vers."
47014,128,46903,50,GMe - GIRBERT DE METZ,"Fragment de Girbert de Metz cité dans 'Le Roman de la Rose ou de Guillaume de Dole' de Jean Renart, édité par f. LECOY (CFMA, 91), Paris, 1962, v. 1335-57 — avant 1228 (pour le fragment); ms. fin 13è s. = 33v. [Geste des Lorrains.] → vers du roman."
47015,128,46903,50,GN - GUI DE NANTEUIL,"Gui de Nanteuil, chanson de geste. Edition critique par James Mc CORMACK, Paris 1970 (TLF, 163) — 1164-1207 ou c. 1195-8 (francien ou champenois sud); as. c. 1350 (picard) = 4281 v. [Geste de Nanteuil.] → vers."
47016,128,46903,50,Go - GODIN,"La Chanson de Godin, chanson de geste publiée par Françoise MEUNIFR, Louvain, 1958 (Univ. de Louvain, Recueil de travaux d'Histoire et de Philologie, 4è série, fasc. 14) — partie rimée ; Fin 13è - début 14è s. (picard avec influence française) ; ms. 14è s. (picard) - partie assonancée (fin du poème) : 1200-50 ou c. 1250 (reste d'un poème antérieur - picard avec influence française) ; ms. l4è s. (picard) = 10.121 v. [Geste de Huon de Bordeaux.] → vers."
47017,128,46903,50,GoB - GODEFROI DE BOUILLON,"La Chanson du Chevalier au Cygne et de Godefroid de Bouillon, publiée par C. HIPPEAU. Deuxième Partie : Godefroid de Bouillon, Paris, 1877 — c. 1200 (oeuvre de Renaud, picard) ; ms. c. 1250 (picard) = 5213 v. [Cycles de la Croisade.] A → vers."
47018,128,46903,50,GR1 - GIRART DE ROUSSILLON,"Girart de Roussillon, chanson de geste publiée par W. Mary HACKETT, 2 vol., Paris, 1953 (SATF) — 1136-80 ou 1155-80 (provençal avec poitevinismes, ouest de la limite oïl-oc ou centre de l'Aquitaine) ; ms. 1200-50 (s.-e. de la France ou Italie du Nord) = 10002 v. [Geste bourguigonne.] → vers."
47019,128,46903,50,GR3 - GIRART DE ROUSSILLON,"Girart de Rossillon, poème bourquignon de XIVè siècle, publié par Ed. Billings HAM, New Haven, 1939 (Yale Romanic Studies, XVI) — 1330-6 (langue du n.-o. de Dijon) ; ms. 14è s. (bourguionon) = 6712 v. [Geste bourguigonne.] → vets (1). (1) Voir remarques et corrections proposées par A. JEANROY 'Le Roman de Gérard de Roussillon' dans Journal des Savants, 1941, p. 145-155."
47020,128,46903,50,GT - GUI DE TOURNANT,"Gui de Tournant, chanson de geste perdue. Fragments publiés par D. THOMAS, dans Rom. XLII, 1913, p. 439-447 et 'Un témoignage méconnu sur Gui de Tournant' par A. THOMAS, dans Rom. XLIV, 1915-7, p. 99-100 — 14è s. (langue commune) ; texte de 1694 = 29v. [Poèmes indépendants.] B → sigle. seul."
47021,128,46903,33,AM - ANSEÏS DE METZ,"Anseÿs de Mes, according to ms. N (Bibl. de l'Arsenal 3143). Text published for the first time in its entirety with an Introduction by H. J. GREEN, Paris 1939-fin 12è s. (picard-wallon) ; ms. 14è s. (picard-wallon) = 14.507 v. [Geste des Lorrains.] → vers."
47022,128,46903,51,GV1 - GIRART DE VIENNE,"Girart de Vienne, par Bertrand de Bar-sur-Aube, texte publié par W. G. van EMDEN, Paris, 1977 (SATF) — c. 1180 ou 1180-1224 (remanṯ de Bertrand de Bar, francien-champenois) ; ms. de base c. 1250 (champenois) = 6924 v. [Geste de Garin de Monglane.] → vers."
47023,128,46903,51,H1 - HORN,"The Romance of Horn. Vol. I : Text, Critical Introduction and Notes, éd. by M. K. POPE, Oxford, 1955 (Anglo-norman Texts, IX-X) - Vol. II : Descriptive Introduction, Explicative Notes and Glossary, revised and completed by T. B. REID, Oxford, 1964 (Anglo-norman Texts, XII-XIII) — c. 1180 ou fin 12è s. (renouvṯ de Thomas, anglo-normand de l'Ouest) ; 2 mss. 13è et 15è s. (anglo-normand) = 5240 v. [Geste anglaise.] → vers."
47024,128,46903,51,HA1 -HUON D'AUVERGNE,"[édition partielle utilisée] - Ugo d'Alvernia, poema franco-italiano, étude de Luisa A. MEREGAZZI, Studi Romanzi, XXVI, 1935, Roma, comprenant l'édition de 'L'épisodio del Prete Gianni', p. 5-69 (v. 4418-4664, 5222-6552) et une 'Nota bibliografia' indiquant les publications de fragments par: A. TOBLER : 'Die Berliner Handschrift des Houn d'Auvergne', dans Sitzungsberichte der Konig. Preuss. Akad. der Wissenschaften zu Berlin, Ph. Hist. K). 1884, XXVII p. 605-620 (v. 1-111, 1067-87, 1180-1220, 1205-1237, 6028-67, 6223-95, 8919-9195) ; F. STENGEL : 'Ein weitere Textstelle...' dans Festschrift zum 13 allgemeinen deutschen Neuphilologentage in Hannover... Hannover, 1908 p. 35-49 (v. 4669-5008) ; F. STFNCEL : 'Huon von Auvergne Keushheitsprobe', dans Mélanges... Wilmotte, 2è partie, 1910, p. 685-713 (v. 6553-7147); E. STENGEL, dans Festchrift der Univ. Greifswald 1908, 1912 (v. 7148-8918, 9196-10827); F. STENGEL, dans Studi Lettereri e linguistici dedicati Pio Rajne, Milano, 1911, p. 873-891 (v. 10828-11534) ; E. STENGEL, dans Miscellanea di Studi critici in onore di V. Crescini 1911, Cividale, 1927 p. 267-290 (v. 11535-12381) — 1340-1 (franco-italien, renouvṯ d'un poème français) : mss. de Berlin (1450-1500) et de Turin (1441) (franco-italien) = env. 6900 v. du ns. de Berlin (sur 12381 v.) [Poèmes indépendants.] A → 2 vers."
47025,128,46903,51,HB1 — HUON DE BORDEAUX,"Huon de Bordeaux - publié par P. RUELLE, Bruxelles - Paris, 1960 (Travaux de la Fac. de Philo. et Lettres de l'Univ. de Broxelles, XX) — 1216-29 (picard, langue composite) ; ms. c. 1250 (picard, passages en lorrain) = 10553 v. [Geste de Huon de Bordeaux.] → vers."
47026,128,46903,51,HC - HUGUES CAPET,"Hugues Capet, chanson de geste publiée pour la première fois, d'après le manuscrit unique de Paris, par le marquis de LA GRANGE, Paris, 1964 (APF, 8) — début 14è s. ou c. 1359 (auteur parisien, natif du Hainaut) ; ms. 15è s. ou c. 1450 (texte renouvelé, Hainaut, Wallonie) = 6361 v. [Poèmes indépendants.] B → vers."
47027,128,46896,403,HervisH,"Hervis de Metz, chanson de geste du Cycle des Loherains, laisses de décasyll. assonnancés; lorr. 1er q. 13 e s. (prob. av. 1223); ms. de base BN fr. 19160 [lorr. 2e t. 13 e s.] (E), en var. et extr. Ars. 3143 [Paris?, traits pic. 1e m. 14 e s.] (N), Torino Bibl. naz. L.II.14 [pic. (Origny) 1311] (T), fragm. Darmstadt 3133 [lorr. ca. 1300] (Da), AN AB.XIX.1734 [rec. fact., cette pièce lorr. fin 13e s.] fragm. (Em); p. p. J.-Ch. Herbin, Hervis de Mes, Genève (Droz) 1992 (T.L.F. 414); [= TL Hervis de Mes H]. Var. à compléter par l’éd. S. Malheureusement nouvelle numérotation des vers pour un décalage de 49 vers sur 10570 vers. Gloss. aux renvois onomas. utiles."
47028,128,46896,403,HervisS,"id.; ms. de base Torino; p. p. E. Stengel, Hervis von Metz, Vorgedicht der Lothringer Geste, Dresden – Halle (Niemeyer) 1903 (Gesellschaft für roman. Literatur 1); [= TL Hervis; Boss513]."
47029,128,46903,52,HM - HERVIS DE METZ,"Hervis von Mes. Vorgedicht der Lothringergeste, nach allen Hss. zum erstenmal vollständig herausgegeben von E. STENGEL, Dresden, 1903 (Gesellschaft für Romanische literatur, I-II) — début 13è s., peu après AM et GM (français-picard) ; ms. de base daté de 1311 (picard) = 10572 v. [Geste des Lorrains.] → vers."
47030,128,46903,52,HRF1 - HUON ROI DE FEERIE,"Ueber di Pariser Hss. 1451 und 22555 der Huon de Bordeaux-Sage. Beziehung der Hs. 1451 zur 'Chanson de Croissant', die 'Chanson de Huon et Calisse', die 'Chanson de Huon, roi de Féerie', von H. SCHAFER, Marburg 1892 (Ausgaben und Abhandlungen aus dem Gebiete der Romanischen Philologie, XC), p. 81-92 : Huon, roy de Fayerie (B.N. fr. 22555) — 1250-1300 (picard ? plutôt lorrain ms. 15è s. (lorrain) = 889 v. [Geste de Huon de Bordeaux.] → vers."
47031,128,46903,52,HRF2 - HUON ROI DE FEERIE,ibid. p. 93-102 (B.N. fr. 1451) — 1250-1300 (picard ?) ; ms. 16è s. (picard ?). = 533 v. [Geste de Huon de Bordeaux.] → laisses.
47032,128,46903,33,Am1 - AMI ET AMILES,"Ami et Amiles, publié par P. F. DEMBOWSKI, Paris, 1969 (CFMA, 97) — fin 12è s. - c. 1200 (langue commune) ; ms. 1250-1300 (éléments lorrains-wallons) = 3504 V. [Geste de Blaives.] → vers."","
