H-ID,type_id,preferred_name,language_COLUMN,language_COLUMN TRM-ID,literary_form,literary_form TRM-ID,is_hypothetical,is_hypothetical TRM-ID,claim_freetext,alternative_names,is_expression_of H-ID,peripheral,peripheral TRM-ID,specific_genre H-ID,length,length_freetext,verse_type,verse_type TRM-ID,rhyme_type,rhyme_type TRM-ID,Stanza_type,Stanza_type TRM-ID,is_derived_from H-ID,nature_of_derivations,tradition_status,tradition_status TRM-ID,status_notes,in_stemma H-ID,has_lost_older_version,has_lost_older_version TRM-ID,ancient_translations_freetext,rewritings_freetext,note,regional_writing_style H-ID,scripta_freetext,date_of_creation,date_of_creation_certainty,date_of_creation_certainty TRM-ID,date_of_creation_source,date_freetext,is_written_by H-ID,is_adapted_by H-ID,author_freetext,place_of_creation H-ID,place_of_creation_source,described_by_source H-ID,described_at_URL,reference_notes,review_status,review_status TRM-ID,review_note
522,101,Fierabras,fro (Old French),9470.0,verse,9549.0,Yes,9482,"Moisan sIII: serait modèle du Fierabras occitan, et des mises en prose du XVe. Hypothèse d'une vers. néerlandais perdue.

DLF-MA: ""Le poète [de Fierabras en français] se fonde, croit-on, sur un poème plus ancien, qui relatait la prise de Rome par l'émir qu'on est convenu d'appeler Balan. Un résumé de Philippe Mousket et la Destruction de Rome (…) en conservent la trace""",[Fierabras],[158],No,9498.0,44167.0,,,[],[],[],[],,,[782],"DLF-MA: ""Le poète [de Fierabras en français] se fonde, croit-on, sur un poème plus ancien, qui relatait la prise de Rome par l'émir qu'on est convenu d'appeler Balan. Un résumé de Philippe Mousket et la Destruction de Rome (…) en conservent la trace""",lost,9478.0,,[],unknown,9770,[],[],,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],[],,,,[],[],[],Open,9698.0,
523,101,Landri le Timonnier,,,,,unknown,9770,,[],[169],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"supposée à partir du Moniage Guillaume. Voir F. Lot, R, 32 1903 1-17; MC Spalding, PMLA, 25 1910 152-163; M. Delbouille, RBPH, 5 1926 339-350. Moisan sIII: 'Cantilena de Landrico' mentionnée par Pierre le Chantre vers 1187-1197 (PL 205 col. 101). Un écho peut-être dans l'Origo et historia brevis Nivernensium comitum c. 1160. À distinguer peut-être: un possible Landri et Aye d'un Auchier et Landri (cf. F. Lot).",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1160-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1160-12-31 00:00:00}",,,,av. 1160.,[],[],,,,[],[https://arlima.net/no/3332],"[ARLIMA: 3332, https://arlima.net/no/3332, BOSSUAT: I p. 57]",,,
524,101,Chetifs,fro (Old French),9470.0,verse,9549.0,No,9483,,[],[185],No,9498.0,44167.0,,,[alexandrine],[9555],[],[],monorhyme 'laisse',9836.0,[],,surviving,9480.0,,[],Yes,9482,[],[mise en prose (Ch2) fin XIIIe pic.],Bossuat 'complète les deux chansons de Graindor de Douai'.,47640.0,pic.,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1181-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1220-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1181-01-01 00:00:00, 'estMaxDate': 1220-12-31 00:00:00}",,,,"XII, c. 1180-1200; ou début du 13e s. (Jonas)",[44964],[],Graindor de Douai,,,"[47170, 47171]","[https://arlima.net/no/5034, http://jonas.irht.cnrs.fr/oeuvre/4185]","[ARLIMA: 5034, https://arlima.net/no/5034, MOISAN: Ch (cycle: Croisade), BOSSUAT: I p. 86]",Open,9698.0,
525,101,Maillefer,,,,,unknown,9770,,[],[112],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[Oui],"Résumé d'une geste perdue supposée, d'après prose BnF fr. 796, 1497, cf. J Runeberg, Études sur la geste de Rainoart, 1905, 77-80. Épisode intercalé dans MG2 qui dériverait de ce poème perdu, cf. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1200-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1250-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1200-01-01 00:00:00, 'estMaxDate': 1250-12-31 00:00:00}",,,,XIII1/2,[],[],,,,[47050],[],"[MOISAN: Mai (cycle: Rainouart, Guillaume)]",Open,9698.0,
526,101,Meurvin,,,,,unknown,9770,,[],[130],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Meurvin, fils d'Ogier, d'après roman du XVIe, Bibliothèque universelle des romans, février 1778, 168-179; impr. Paris 1539. Selon Doutrepont, probable poème du XIVe en alexandrins, cf. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1200-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1400-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1200-01-01 00:00:00, 'estMaxDate': 1400-12-31 00:00:00}",,,,XIII – XIV,[],[],,,,[47053],[],[MOISAN: Meu (cycle: Doon de Maience)],Open,9698.0,
527,101,Morant et Galienne,,,,,unknown,9770,,[],[178],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,"[Karlmeinet, Morant und Galie]",[],"Poème à l'origine de l'épisode du Karlmeinet et du Morant und Galie bas rhénan c. 1200, et du témoignage de Thomasin von Zirclaere vers. 1215.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,av. 1200,[],[],,,,[47000],[],[MOISAN: MGa étr.],Open,9698.0,
528,101,Ospinel et Magdalie,,,,,unknown,9770,,[],[153],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[allemande (Karlmeinet)],[],"source d'un texte allemand, incorporé au Karlmeinet, cf. Moisan sIII. De tête, attestation du personnage dans d'autres œuvres, notamment Gesta Karoli Magni ad…",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1199-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1199-12-31 00:00:00}",,,,,[],[],,,,[],[],[],,,
529,101,Prise d'Orange primitive,fro (Old French),9470.0,verse,9549.0,Yes,9482,,[],[92],No,9498.0,44167.0,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"À voir. Bossuat renvoie à Fichtner, Studien über die Prise d'Orange…, qui parle d'une version primitive et prétend en retrouver des vers à la fin du ms. de Berne, mais ceux-ci pourraient être une addition de copiste: 648 v. qu'il publie sous le nom de Siège d'Orange. R. Weeks, PMLA 16 1901 361-374 'suppose l'existence d'une version ancienne d'après quelques textes latins …'. Voir aussi Moisan sIII",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1199-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1199-12-31 00:00:00}",,,,,[],[],,,,[],[],[BOSSUAT: I p. 65],Open,9698.0,
530,101,Siege d'Orange primitif,fro (Old French),9470.0,verse,9549.0,Yes,9482,,[],[92],No,9498.0,44167.0,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Voir aussi Prise d'Orange primitive, cf. Paola Moreno, « Une allusion au Siège d'Orange perdu dans Foucon de Candie », L'épopée romane au Moyen Âge et aux Temps Modernes, 1997, p. 481 et suiv. Voir aussi M. Tyssens, ""Le Siège d'Orange perdu"", dans BRABL de Barcelona, 31 1965-1966 321-329. Moisan sIII. Peut-être une suite de la Prise d'Orange primitive, disparue à la suite de remaniements, ou lors de l'insertion de la Prise d'Orange dans un ensemble plus vaste.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1180-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1180-12-31 00:00:00}",,,,,[],[],,,,[],[],[BOSSUAT: I p. 65],Open,9698.0,
531,101,Raimbaud et Hamon,,,,,unknown,9770,,[],[154],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"1re branche KS, + Aebischer, dans Rolandiana et Borealia, suppose que plus ancien que Roland. Couple cité dans le Rol Oxf. Cf. aussi Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1080-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1100-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1080-01-01 00:00:00, 'estMaxDate': 1100-12-31 00:00:00}",,,,XI fin ?,[],[],,,,[],[],[],,,
532,101,Richier,,,,,unknown,9770,,[],[160],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"d'après G. Paris, selon chronique en prose du BnF, fr. 5003. Cette 'chronique française' résume diverses chansons de geste, dont deux perdues, Arnaïs d'Orléans et Richier, fils de Naime, aux prises avec les traîtres Guion et Alori, frères de Ganelo, cf. Moisan sIII. Cf. aussi Suard p. 263.",,,,,,,,[],[],,,,[],[],[],Action required,9697.0,
533,101,Roi Vivien ou Iwen,,,,,unknown,9770,,[],[106],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Allusion au v. 3995-3998 du Roland d'Oxford, à comp. avec branche VIII de la Karl Magnus Kronike. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1001-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1100-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1001-01-01 00:00:00, 'estMaxDate': 1100-12-31 00:00:00}",,,,XI?,[],[],,,,[],[],[],,,
534,101,Roland perdu(s),,,,,unknown,9770,,[],[941],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Très nombreuses allusions anciennes à la légende de Roland, et probable nombreuses versions perdues, de formes diverses. Notamment, il devait y avoir une version antérieure à l'insertion de l'épisode Baligant, et peut-être aussi sans Blancandrin, avec une mort d'Ogier à Roncevaux, peut-être sans Olivier ni Aude. Plus généralement, ""On admet l'existence d'une Chanson de Roland différente de celle du manuscrit d'Oxford, aux environs de l'année 1050 (…). Cet archétype est la source du Roland d'Oxford et du Roland de Venise. Nombreuses hypothèses. Moisan sIII. Témoignage aussi de la Nota Emilianense, qui, c. 1065-1075, résumé un Cantar de Rodlane perdu.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 0901-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1050-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 0901-04-04 00:00:00, 'estMaxDate': 1050-12-31 00:00:00}",,,,"X-XI, avant c. 1050?",[],[],,,,[],[],[],,,
535,101,Conquete de Jerusalem,,,,,unknown,9770,,[],[940],,,,,,[],[],[],[],,,[],,surviving,9480.0,,[],Yes,9482,[],[],renouvellement de Graindor de Douai? cf. Moisan.,,pic.,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1180-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1180-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,"XII, c. 1180-1200",[44964],[],Graindor de Douai?,,,[47174],[https://arlima.net/no/300],"[ARLIMA: 300, https://arlima.net/no/300, MOISAN: CJ (cycle: Croisade), BOSSUAT: I p. 86; sII p. 34; sIII p. 186]",Open,9698.0,
536,101,Sansonnet (del orfanin Sansunnet),,,,,unknown,9770,,[],[203],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"mentionnée par Robert de Gretham, prologue Miroir, et aussi mentionnée par Suard, p. 263, cf. Louis Gemenne, « Sansonnet : avis de recherche d'un orphelin épique », L'épopée romane 1, t.~2, p.~665-676. Autre indications dans la 'chronique française'. Moisan sIII.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1199-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1199-12-31 00:00:00}",,,,,[],[],,,,[],[],[],,,
537,101,Guitaclin,fro (Old French),9470.0,unknown,9726.0,Yes,9482,"Jean Bodel affirme renouveler une matière préexistante de vieilles chansons. On peut aisément le croire: citations d'une chanson perdue dans la KSaga; épisode de la Gran Conquista de Ultramar, venant d'une version antérieure à J Bodel; 1re et 5e branches de la KS. Existe aussi un Gwidekijn van Sassen néerlandais (même texte?); cf. BESAMUSCA , Bart : Unidentifizierte mittelniederländische Karlsepen. Die «Idée fixe» der mittelniederländischen Literatur als Übersetzungsliteratur, dans Chansons de geste im europäischen Kontext..., pp. 26-35.",[],[166],No,9498.0,44167.0,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,"[norroise, néerlandaise?]",[],,,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],[],,,,[],[],[],Action required,9697.0,Check and add other derivatives
538,101,Justamont ?,,,,,unknown,9770,,[],[167],,,,,,[],[],[],[],,,[],,lost,9478.0,,[],unknown,9770,[],[],"Nom du père de Guiteclin, peut-être dérivé de « Diotmund » (protecteur du peuple), dans la Chanson des Saxons, qui pourrait avoir fait l'objet d'une chanson propre, selon Rajna, Contributi alla Storia… p. 33-34, et se retrouverait dans un des fragments d'un Floovant holandais.",,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1199-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1199-12-31 00:00:00}",,,,,[],[],,,,[],[],[],,,
