H-ID,type_id,family_name,given_names,alternative_names,Gender,Gender TRM-ID,short_description,Representative picture,described_by_source H-ID,described_at_URL,ISNI,Honorific,Honorific TRM-ID,Person type,Person type TRM-ID,Person role,Person role TRM-ID,Story element list H-ID,floruit,date_of_birth,Country of birth,Country of birth TRM-ID,Place of birth H-ID,Life events H-ID,date_of_death,Country of death,Country of death TRM-ID,Place of death H-ID,Cause of death,Cause of death TRM-ID,Unique public identifier,Contact details or URL,Email address,Language spoken,Language spoken TRM-ID,URL
44971,10,,Graindor de Brie,[],,,"Trouvère who was writing in Sicily around 1170 (Biblissima, BNF)",[],[],[https://data.biblissima.fr/w/Item:Q299871],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1200-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1200-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44972,10,,Guillaume de Bapaume,[],,,,[],[],[https://data.biblissima.fr/w/Item:Q25576],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1299-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1299-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44973,10,,Grégoire Bechada,[],,,Occitan poet,[],[],[https://www.wikidata.org/wiki/Q8965057],https://isni.org/isni/0000000005293296,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44974,10,de Tudèle,Guillaume,"[William of Tudela, Guilhèm de Tudèla, Guilhem de Tudela]",,,,[],[],"[https://data.biblissima.fr/w/Item:Q6349, https://www.wikidata.org/wiki/Q2006261]",,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1299-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1299-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44975,10,,Herbert le Duc de Dammartin,[Herbert Le Duc],,,,[],[],"[https://data.biblissima.fr/w/Item:Q298692, https://www.wikidata.org/wiki/Q106211407]",https://isni.org/isni/0000000079726082,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1299-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1299-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44976,10,Bodel,Jean,[Jean Bodel d'Arras],,,,[],[],[https://www.wikidata.org/wiki/Q5172],,[],[],[],[],[],[],,,"{'comment': NULL, 'value': 1165-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,[],"{'comment': NULL, 'value': 1210-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,,,,,[],,,
44977,10,d'Outremeuse,Jean,"[Jean des Preis, Jean des Prés]",,,,[],[],"[https://www.wikidata.org/wiki/Q1685972, https://data.biblissima.fr/w/Item:Q22228]",,[],[],[],[],[],[],,,"{'comment': NULL, 'value': 1338-01-02 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,[],"{'comment': NULL, 'value': 1400-11-25 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,,,,,[],,,
44978,10,,Jean de Flagy,[],,,,[],[],[https://data.biblissima.fr/w/Item:Q8426],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1101-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1199-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1101-01-01 00:00:00, 'estMaxDate': 1199-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44979,10,de Bononia,Johannes,[],,,"Copyist, scribe",[],[],[https://data.biblissima.fr/w/Item:Q301352],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
44980,10,da Casola,Nicola,[Niccolò da Casola],,,,[],[],[https://www.wikidata.org/wiki/Q48407068],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1305-01-01 00:00:00, 'latest': 1310-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': 1380-01-01 00:00:00, 'latest': 1380-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1305-01-01 00:00:00, 'estMaxDate': 1380-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44981,10,da Verona,Niccolò,[],,,,[],[],[https://data.biblissima.fr/w/Item:Q298755],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1301-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1399-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1301-01-01 00:00:00, 'estMaxDate': 1399-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44982,10,da Verona,Raffaele,"[Raffaele Marmora, da Verona, Raphaël de Vérone, Raphaël Marmora]",,,"Considéré comme l'auteur du roman franco-italien ""Aquilon de Bavière"", composé entre 1379 et 1407 (BNF)",[],[],[https://data.biblissima.fr/w/Item:Q300079],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1301-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1499-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1301-01-01 00:00:00, 'estMaxDate': 1499-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
44983,10,,Raimbert de Paris,[],,,Auteur de : [Ogier le Danois]. Pour cette œuvre consulter le Fichier d'autorité des titres uniformes (BNF),[],[],[https://data.biblissima.fr/w/Item:Q23603],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
44989,10,,Thomas,[Mestre Thomas],,,Anglo-Norman writer from the 12th century. Might or might not be the same author as the Thomas author of a Tristan,[],[],[https://arlima.net/no/235],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1100-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1200-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1100-01-01 00:00:00, 'estMaxDate': 1200-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
46895,10,von Aue,Hartmann,[],,,,[],[],[],,[],[],[],[],[],[],,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1161-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1170-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1161-01-01 00:00:00, 'estMaxDate': 1170-12-31 00:00:00}",,,,[],"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1211-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1220-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1211-01-01 00:00:00, 'estMaxDate': 1220-12-31 00:00:00}",,,,,,,,[],,,
46897,10,Möhren,Frankwalt,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46913,10,Moisan,André,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46916,10,Bossuat,Robert,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46920,10,Monfrin,Jacques,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46921,10,Vielliard,Françoise,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46924,10,Luca,Paolo Di,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
46927,10,Klein,Jan Willem,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
47373,10,Van Aken,Hein,[],,,,[],[],[],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1271-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1320-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1271-01-01 00:00:00, 'estMaxDate': 1320-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
47475,10,van Maerlant,Jacob,[],,,"'Jacob van Maerlant schreef de meest uiteenlopende boeken, van ridderromans tot een wereldgeschiedenis. Als vertaler is hij van grote betekenis geweest voor de Middelnederlandse literatuur.'",[],[],[https://www.literatuurgeschiedenis.org/schrijvers/jacob-van-maerlant],,[],[],[],[],[],[],,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1231-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1235-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1231-01-01 00:00:00, 'estMaxDate': 1235-12-31 00:00:00}",,,,[],"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1288-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1300-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': central, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1288-01-01 00:00:00, 'estMaxDate': 1300-12-31 00:00:00}",,,,,,,,[],,,
47486,10,Caers,Bram,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
47487,10,Kestemont,Mike,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
47490,10,Kienhorst,Hans,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
47495,10,Verbraeken,Bram,[],,,,[],[],[],,[],[],[],[],[],[],,,,,,,[],,,,,,,,,[],,,
47549,10,Van Assenede,Diederik,[Dierekin de Assenede],,,Diederik van Assenede worked as a clerk for the Flemish court. Hij was active between 1260 and 1280.,[],[],[https://www.literatuurgeschiedenis.org/teksten/floris-ende-blancefloer],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1261-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1280-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1261-01-01 00:00:00, 'estMaxDate': 1280-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
47645,10,Wauquelin,Jean,[],,,"""originaire de Picardie, présent à Mons avant 1428, bourgeois de la ville. A travaillé pour les grands seigneurs bourguignons et pour le duc"" (Jonas)",[],[],"[https://arlima.net/no/101, http://jonas.irht.cnrs.fr/intervenant/527]",,[],[],[],[],[],[],,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1376-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1428-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1376-01-01 00:00:00, 'estMaxDate': 1428-12-31 00:00:00}",,,,[],"{'comment': NULL, 'value': 1453-01-01 00:00:00, 'start': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': NULL, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': NULL, 'estMaxDate': NULL}",,,,,,,,[],,,
47769,10,Penninc,,[],,,Co-author of Roman van Walewein.,[],[],[https://www.literatuurgeschiedenis.org/teksten/roman-van-walewein],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1231-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1270-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1231-01-01 00:00:00, 'estMaxDate': 1270-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
47770,10,Vostaert,Pieter,[],,,Co-author of Roman van Walewein.,[],[],[https://www.literatuurgeschiedenis.org/teksten/roman-van-walewein],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1231-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1270-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1231-01-01 00:00:00, 'estMaxDate': 1270-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
47789,10,van Haerlem,Claes,[],,,,[],"[47483, 47482]",[],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1201-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1250-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1201-01-01 00:00:00, 'estMaxDate': 1250-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
48162,10,Van Velthem,Lodewijk,[],,,,[],[47482],[http://www.biografischportaal.nl/persoon/87314666],,[],[],[],[],[],[],,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1270-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1327-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1270-01-01 00:00:00, 'estMaxDate': 1327-12-31 00:00:00}",,,,,[],,,,,,,,,[],,,
48287,10,Latewaert,Loy,[],,,,[],[47483],[http://www.biografischportaal.nl/persoon/90993590],,[],[],[],[],[],[],,,"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1251-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1350-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1251-01-01 00:00:00, 'estMaxDate': 1350-12-31 00:00:00}",,,,[],"{'comment': NULL, 'value': NULL, 'start': {'earliest': 1301-01-01 00:00:00, 'latest': NULL, 'estProfile': NULL, 'estDetermination': NULL}, 'end': {'earliest': NULL, 'latest': 1400-01-01 00:00:00, 'estProfile': NULL, 'estDetermination': NULL}, 'estDetermination': conjecture, 'estProfile': NULL, 'timestamp': {'in': NULL, 'type': NULL, 'circa': false}, 'estMinDate': 1301-01-01 00:00:00, 'estMaxDate': 1400-12-31 00:00:00}",,,,,,,,[],,,
